fish,sex,familiarization,interval,block_of_minutes,time_in_central_corridor,preference_for_novel_object
female 01,F,3h,6gg,block 01,0.2,0.416666667
male 01,M,3h,6gg,block 01,0.3,0.738095238
female 02,F,3h,6gg,block 01,0.366666667,0.421052632
male 02,M,3h,6gg,block 01,0.4,0.472222222
female 03,F,3h,6gg,block 01,0.366666667,0.789473684
male 03,M,3h,6gg,block 01,0.283333333,0.558139535
female 04,F,3h,6gg,block 01,0.283333333,0.558139535
male 04,M,3h,6gg,block 01,0.283333333,0.813953488
female 05,F,1h,6gg,block 01,0.333333333,0.5
male 05,M,1h,6gg,block 01,0.416666667,0.828571429
female 06,F,1h,6gg,block 01,0.45,0.515151515
male 06,M,1h,6gg,block 01,0.25,0.688888889
female 07,F,1h,6gg,block 01,0.283333333,0.441860465
male 07,M,1h,6gg,block 01,0.233333333,0.586956522
female 08,F,1h,6gg,block 01,0.183333333,0.408163265
male 08,M,1h,6gg,block 01,0.216666667,0.29787234
female 09,F,1h,1gg,block 01,0.283333333,0.558139535
male 09,M,1h,1gg,block 01,0.116666667,0.566037736
female 10,F,1h,1gg,block 01,0.166666667,0.48
male 10,M,1h,1gg,block 01,0,1
female 11,F,1h,1gg,block 01,0.266666667,0.613636364
male 11,M,1h,1gg,block 01,0.233333333,0.304347826
male 12,M,1h,1gg,block 01,0.416666667,0.511111111
female 13,F,3h,1gg,block 01,0.216666667,0.489361702
male 13,M,3h,1gg,block 01,0.233333333,0.47826087
female 14,F,3h,1gg,block 01,0.083333333,0.636363636
male 14,M,3h,1gg,block 01,0.233333333,0.608695652
female 15,F,3h,1gg,block 01,0.333333333,0.325
male 15,M,3h,1gg,block 01,0.266666667,0.5
female 16,F,3h,1gg,block 01,0.25,0.4
male 16,M,3h,1gg,block 01,0.183333333,0.551020408
female 01,F,3h,6gg,block 02,0.166666667,0.56
male 01,M,3h,6gg,block 02,0.266666667,0.545454545
female 02,F,3h,6gg,block 02,0.266666667,0.545454545
male 02,M,3h,6gg,block 02,0.233333333,0.47826087
female 03,F,3h,6gg,block 02,0.3,0.523809524
male 03,M,3h,6gg,block 02,0.2,0.395833333
female 04,F,3h,6gg,block 02,0.2,0.520833333
male 04,M,3h,6gg,block 02,0.2,0.708333333
female 05,F,1h,6gg,block 02,0.433333333,0.411764706
male 05,M,1h,6gg,block 02,0.283333333,0.627906977
female 06,F,1h,6gg,block 02,0.433333333,0.529411765
male 06,M,1h,6gg,block 02,0.233333333,0.47826087
female 07,F,1h,6gg,block 02,0.183333333,0.551020408
male 07,M,1h,6gg,block 02,0.183333333,0.448979592
female 08,F,1h,6gg,block 02,0.166666667,0.52
male 08,M,1h,6gg,block 02,0.166666667,0.4
female 09,F,1h,1gg,block 02,0.183333333,0.510204082
male 09,M,1h,1gg,block 02,0.2,0.541666667
female 10,F,1h,1gg,block 02,0.166666667,0.56
male 10,M,1h,1gg,block 02,0.016666667,1
female 11,F,1h,1gg,block 02,0.166666667,0.84
male 11,M,1h,1gg,block 02,0.183333333,0.489795918
male 12,M,1h,1gg,block 02,0.2,0.625
female 13,F,3h,1gg,block 02,0.283333333,0.581395349
male 13,M,3h,1gg,block 02,0,0.483333333
female 14,F,3h,1gg,block 02,0.233333333,0.52173913
male 14,M,3h,1gg,block 02,0.133333333,0.692307692
female 15,F,3h,1gg,block 02,0.2,0.541666667
male 15,M,3h,1gg,block 02,0.233333333,0.586956522
female 16,F,3h,1gg,block 02,0.183333333,0.448979592
male 16,M,3h,1gg,block 02,0.2,0.5625
female 01,F,3h,6gg,block 03,0.1,0.259259259
male 01,M,3h,6gg,block 03,0.3,0.80952381
female 02,F,3h,6gg,block 03,0.25,0.444444444
male 02,M,3h,6gg,block 03,0.183333333,0.469387755
female 03,F,3h,6gg,block 03,0.216666667,0.29787234
male 03,M,3h,6gg,block 03,0.233333333,0.47826087
female 04,F,3h,6gg,block 03,0.2,0.395833333
male 04,M,3h,6gg,block 03,0.283333333,0.558139535
female 05,F,1h,6gg,block 03,0.25,0.355555556
male 05,M,1h,6gg,block 03,0.166666667,0.52
female 06,F,1h,6gg,block 03,0.383333333,0.702702703
male 06,M,1h,6gg,block 03,0.383333333,0.594594595
female 07,F,1h,6gg,block 03,0.266666667,0.340909091
male 07,M,1h,6gg,block 03,0.2,0.479166667
female 08,F,1h,6gg,block 03,0.183333333,0.530612245
male 08,M,1h,6gg,block 03,0.116666667,0.58490566
female 09,F,1h,1gg,block 03,0.15,0.607843137
male 09,M,1h,1gg,block 03,0.116666667,0.547169811
female 10,F,1h,1gg,block 03,0.2,0.5
male 10,M,1h,1gg,block 03,0.2,0.666666667
female 11,F,1h,1gg,block 03,0.233333333,0.956521739
male 11,M,1h,1gg,block 03,0.166666667,0.58
male 12,M,1h,1gg,block 03,0.033333333,0.517241379
female 13,F,3h,1gg,block 03,0.233333333,0.586956522
male 13,M,3h,1gg,block 03,0.016666667,0.440677966
female 14,F,3h,1gg,block 03,0.216666667,0.531914894
male 14,M,3h,1gg,block 03,0.233333333,0.456521739
female 15,F,3h,1gg,block 03,0.15,0.568627451
male 15,M,3h,1gg,block 03,0.283333333,0.418604651
female 16,F,3h,1gg,block 03,0.2,0.541666667
male 16,M,3h,1gg,block 03,0.183333333,0.571428571
female 01,F,3h,6gg,block 04,0.083333333,0.727272727
male 01,M,3h,6gg,block 04,0.333333333,0.75
female 02,F,3h,6gg,block 04,0.266666667,0.545454545
male 02,M,3h,6gg,block 04,0.183333333,0.448979592
female 03,F,3h,6gg,block 04,0.233333333,0.717391304
male 03,M,3h,6gg,block 04,0.25,0.533333333
female 04,F,3h,6gg,block 04,0.15,0.529411765
male 04,M,3h,6gg,block 04,0.25,0.533333333
female 05,F,1h,6gg,block 04,0.283333333,0.488372093
male 05,M,1h,6gg,block 04,0.183333333,0.653061224
female 06,F,1h,6gg,block 04,0.15,1
male 06,M,1h,6gg,block 04,0.2,0.541666667
female 07,F,1h,6gg,block 04,0.316666667,0.536585366
male 07,M,1h,6gg,block 04,0.2,0.517241379
female 08,F,1h,6gg,block 04,0.133333333,0.5
male 08,M,1h,6gg,block 04,0.2,0.604166667
female 09,F,1h,1gg,block 04,0.233333333,0.52173913
male 09,M,1h,1gg,block 04,0.1,0.546875
female 10,F,1h,1gg,block 04,0.183333333,0.489795918
male 10,M,1h,1gg,block 04,0.083333333,0.690909091
female 11,F,1h,1gg,block 04,0.1,0.851851852
male 11,M,1h,1gg,block 04,0.166666667,0.413043478
male 12,M,1h,1gg,block 04,0.15,0.470588235
female 13,F,3h,1gg,block 04,0.216666667,0.531914894
male 13,M,3h,1gg,block 04,0,0.4
female 14,F,3h,1gg,block 04,0.166666667,0.66
